275897.9	6130872.8
275989.2	6131049.1
276018.8	6131084.5
276019.5	6131040.6
276037.8	6131071.1
276173.9	6131146.3
276093.1	6131182.4
276074.3	6131213.4
276054.1	6131223.1
276071.8	6131257
276103.5	6131137.2
276126.6	6131171.2
276071.5	6131074.2
276104.9	6131077.1
276095.8	6131151.7
276083.6	6131253
276081.4	6131284.8
276078	6131320.3
276072.8	6131100.7
276127.8	6131184.1
276231.7	6131193.3
276266.3	6131196.1
276299.2	6131200.8
276294.4	6131230.4
276289.7	6131303.5
276286.5	6131325.2
276284.7	6131350.9
276280.9	6131388.5
276277.6	6131428.3
276176.4	6131348.4
276243.4	6131439.3
276267.7	6131351.6
276178.4	6131379.9
276185	6131399.6
276383.1	6131454.4
276317.7	6131492.9
276470.1	6131655
276477.3	6131556.6
276486.3	6131447.1
276494.9	6131348
276454.6	6131368.3
276456.5	6131403.1
276478.1	6131298.3
276476.2	6131318.8
276473.8	6131348.8
276471.6	6131378.1
276421.3	6131445.5
276460.4	6131752.7
276564.8	6131796.3
276946.2	6131786.8
276840.9	6132259
276891.9	6132187.4
276960.7	6132212.7
276571.3	6131877.9
277098	6131867.6
277062.7	6131807.7
277824	6132658.1
277837.8	6132639.3
278070.8	6132370
277992.1	6132997.9
279440.3	6134440.8
279308.2	6134147
280053.3	6134730.4
280675	6134467.2
280515.8	6134413.9
280435.4	6134398.2
276015.3	6131203.4
276033.3	6131177
276099.4	6131268.3
276059.2	6131250.3
276066.7	6131122.3
276211.9	6131258.2
276192.6	6131293.1
